phase,client_observed_ms,server_internal_ms,socket_transfer_overhead_ms,status,decision,reason_code
warmup,4.271,2.000,2.271,200,ALLOW,OK_ALLOW
warmup,4.154,1.000,3.154,200,ALLOW,OK_ALLOW
warmup,4.073,2.000,2.073,200,ALLOW,OK_ALLOW
warmup,3.978,2.000,1.978,200,ALLOW,OK_ALLOW
warmup,3.877,2.000,1.877,200,ALLOW,OK_ALLOW
warmup,3.463,2.000,1.463,200,ALLOW,OK_ALLOW
warmup,3.182,1.000,2.182,200,ALLOW,OK_ALLOW
warmup,3.587,2.000,1.587,200,ALLOW,OK_ALLOW
warmup,3.703,2.000,1.703,200,ALLOW,OK_ALLOW
warmup,3.845,2.000,1.845,200,ALLOW,OK_ALLOW
warmup,3.746,2.000,1.746,200,ALLOW,OK_ALLOW
warmup,4.145,2.000,2.145,200,ALLOW,OK_ALLOW
warmup,4.378,2.000,2.378,200,ALLOW,OK_ALLOW
warmup,4.201,2.000,2.201,200,ALLOW,OK_ALLOW
warmup,4.257,2.000,2.257,200,ALLOW,OK_ALLOW
warmup,4.551,2.000,2.551,200,ALLOW,OK_ALLOW
warmup,4.594,2.000,2.594,200,ALLOW,OK_ALLOW
warmup,4.598,2.000,2.598,200,ALLOW,OK_ALLOW
warmup,4.461,1.000,3.461,200,ALLOW,OK_ALLOW
warmup,4.341,2.000,2.341,200,ALLOW,OK_ALLOW
warmup,4.389,1.000,3.389,200,ALLOW,OK_ALLOW
warmup,3.997,1.000,2.997,200,ALLOW,OK_ALLOW
warmup,4.005,1.000,3.005,200,ALLOW,OK_ALLOW
warmup,3.765,2.000,1.765,200,ALLOW,OK_ALLOW
warmup,3.704,1.000,2.704,200,ALLOW,OK_ALLOW
warmup,3.634,2.000,1.634,200,ALLOW,OK_ALLOW
warmup,3.422,1.000,2.422,200,ALLOW,OK_ALLOW
warmup,3.579,1.000,2.579,200,ALLOW,OK_ALLOW
warmup,3.738,1.000,2.738,200,ALLOW,OK_ALLOW
warmup,3.668,2.000,1.668,200,ALLOW,OK_ALLOW
warmup,3.610,2.000,1.610,200,ALLOW,OK_ALLOW
warmup,3.603,2.000,1.603,200,ALLOW,OK_ALLOW
warmup,3.714,1.000,2.714,200,ALLOW,OK_ALLOW
warmup,3.641,1.000,2.641,200,ALLOW,OK_ALLOW
warmup,3.679,2.000,1.679,200,ALLOW,OK_ALLOW
warmup,3.777,2.000,1.777,200,ALLOW,OK_ALLOW
warmup,4.402,2.000,2.402,200,ALLOW,OK_ALLOW
warmup,4.358,2.000,2.358,200,ALLOW,OK_ALLOW
warmup,4.373,1.000,3.373,200,ALLOW,OK_ALLOW
warmup,4.923,2.000,2.923,200,ALLOW,OK_ALLOW
warmup,5.050,1.000,4.050,200,ALLOW,OK_ALLOW
warmup,5.557,1.000,4.557,200,ALLOW,OK_ALLOW
warmup,5.293,1.000,4.293,200,ALLOW,OK_ALLOW
warmup,5.300,2.000,3.300,200,ALLOW,OK_ALLOW
warmup,5.070,1.000,4.070,200,ALLOW,OK_ALLOW
warmup,6.047,1.000,5.047,200,ALLOW,OK_ALLOW
warmup,5.709,1.000,4.709,200,ALLOW,OK_ALLOW
warmup,5.141,1.000,4.141,200,ALLOW,OK_ALLOW
warmup,4.624,1.000,3.624,200,ALLOW,OK_ALLOW
warmup,4.770,1.000,3.770,200,ALLOW,OK_ALLOW
warmup,4.669,1.000,3.669,200,ALLOW,OK_ALLOW
warmup,3.290,1.000,2.290,200,ALLOW,OK_ALLOW
warmup,3.446,1.000,2.446,200,ALLOW,OK_ALLOW
warmup,3.491,1.000,2.491,200,ALLOW,OK_ALLOW
warmup,3.897,2.000,1.897,200,ALLOW,OK_ALLOW
warmup,3.976,2.000,1.976,200,ALLOW,OK_ALLOW
warmup,4.167,2.000,2.167,200,ALLOW,OK_ALLOW
warmup,4.287,2.000,2.287,200,ALLOW,OK_ALLOW
warmup,4.462,1.000,3.462,200,ALLOW,OK_ALLOW
warmup,4.478,2.000,2.478,200,ALLOW,OK_ALLOW
warmup,4.694,2.000,2.694,200,ALLOW,OK_ALLOW
warmup,4.550,2.000,2.550,200,ALLOW,OK_ALLOW
warmup,4.873,2.000,2.873,200,ALLOW,OK_ALLOW
warmup,4.460,2.000,2.460,200,ALLOW,OK_ALLOW
warmup,4.296,2.000,2.296,200,ALLOW,OK_ALLOW
warmup,4.124,2.000,2.124,200,ALLOW,OK_ALLOW
warmup,3.768,2.000,1.768,200,ALLOW,OK_ALLOW
warmup,3.629,2.000,1.629,200,ALLOW,OK_ALLOW
warmup,3.689,2.000,1.689,200,ALLOW,OK_ALLOW
warmup,3.737,2.000,1.737,200,ALLOW,OK_ALLOW
warmup,3.646,1.000,2.646,200,ALLOW,OK_ALLOW
warmup,4.011,2.000,2.011,200,ALLOW,OK_ALLOW
